ID,Value
KDEN_220925_0100_15,23
KDEN_220925_0100_30,16
KDEN_220925_0100_45,7
KDEN_220925_0100_60,4
KDEN_220925_0100_75,6
KDEN_220925_0100_90,3
KDEN_220925_0100_105,1
KDEN_220925_0100_120,4
KDEN_220925_0100_135,7
KDEN_220925_0100_150,5
KDEN_220925_0100_165,3
KDEN_220925_0100_180,9
KDEN_220925_0500_15,5
KDEN_220925_0500_30,3
KDEN_220925_0500_45,2
KDEN_220925_0500_60,2
KDEN_220925_0500_75,2
KDEN_220925_0500_90,1
KDEN_220925_0500_105,2
KDEN_220925_0500_120,0
KDEN_220925_0500_135,1
KDEN_220925_0500_150,0
KDEN_220925_0500_165,1
KDEN_220925_0500_180,1
KDEN_220925_0900_15,0
KDEN_220925_0900_30,0
KDEN_220925_0900_45,0
KDEN_220925_0900_60,0
KDEN_220925_0900_75,0
KDEN_220925_0900_90,1
KDEN_220925_0900_105,0
KDEN_220925_0900_120,0
KDEN_220925_0900_135,0
KDEN_220925_0900_150,0
KDEN_220925_0900_165,1
KDEN_220925_0900_180,1
KDEN_220925_1300_15,7
KDEN_220925_1300_30,8
KDEN_220925_1300_45,10
KDEN_220925_1300_60,4
KDEN_220925_1300_75,12
KDEN_220925_1300_90,24
KDEN_220925_1300_105,27
KDEN_220925_1300_120,16
KDEN_220925_1300_135,9
KDEN_220925_1300_150,7
KDEN_220925_1300_165,15
KDEN_220925_1300_180,28
KDEN_220925_1700_15,4
KDEN_220925_1700_30,9
KDEN_220925_1700_45,12
KDEN_220925_1700_60,14
KDEN_220925_1700_75,12
KDEN_220925_1700_90,18
KDEN_220925_1700_105,16
KDEN_220925_1700_120,11
KDEN_220925_1700_135,8
KDEN_220925_1700_150,4
KDEN_220925_1700_165,11
KDEN_220925_1700_180,16
KDEN_220925_2100_15,13
KDEN_220925_2100_30,9
KDEN_220925_2100_45,10
KDEN_220925_2100_60,10
KDEN_220925_2100_75,26
KDEN_220925_2100_90,25
KDEN_220925_2100_105,16
KDEN_220925_2100_120,10
KDEN_220925_2100_135,10
KDEN_220925_2100_150,15
KDEN_220925_2100_165,19
KDEN_220925_2100_180,27
KDEN_220926_0100_15,20
KDEN_220926_0100_30,20
KDEN_220926_0100_45,6
KDEN_220926_0100_60,13
KDEN_220926_0100_75,8
KDEN_220926_0100_90,8
KDEN_220926_0100_105,7
KDEN_220926_0100_120,9
KDEN_220926_0100_135,4
KDEN_220926_0100_150,9
KDEN_220926_0100_165,5
KDEN_220926_0100_180,5
KDEN_220926_0500_15,2
KDEN_220926_0500_30,8
KDEN_220926_0500_45,5
KDEN_220926_0500_60,8
KDEN_220926_0500_75,5
KDEN_220926_0500_90,2
KDEN_220926_0500_105,2
KDEN_220926_0500_120,2
KDEN_220926_0500_135,0
KDEN_220926_0500_150,1
KDEN_220926_0500_165,0
KDEN_220926_0500_180,1
KDEN_220926_0900_15,0
KDEN_220926_0900_30,0
KDEN_220926_0900_45,0
KDEN_220926_0900_60,0
KDEN_220926_0900_75,0
